"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Barbados","BRB","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","122.19","126.74","144.82","130.87","146.57","134.32","154.33","124.98","118.83","134.77","122.58","111.51","110.18","105.77","99.55","105.78","117.91","114.25","125.38","139.55","124.01","115.47","105.8","110.7","106.47","117.36","107.62","108.77","107.85","110.63","108.73","97.4","90.66","93.01","97.25","111.94","106.18","98.29","105.26","102.58","95.39","92.37","96.07","96.52","105.8","97.68","101.26","94.37","99.09","91.25","93.83","94.9","89.32","87.32","84.84","85.02","",
"Brunei Darussalam","BRN","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","16.79","22.05","20.52","17.63","16.26","17.24","19.13","20.38","22.93","23.97","23.67","21.36","24.67","33.66","30.9","30.01","29.07","27.17","29.02","33.09","35.37","38.24","40.05","40.11","53.23","42.49","32.63","29.09","33.17","27.79","30.85","41.31","42.01","44.79","46.06","40.22","51.4","59.1","74.2","83.95","96.5","107.48","105.34","102.65","75.13","122.23","128.13","132.07","132.56","139.11","149.38","153.91","166.92","166.57","170","169.47","",
"Bhutan","BTN","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","22.83","23.8","24.72","25.38","26.03","26.58","27.29","27.92","28.65","29.29","29.99","30.66","31.31","32.06","32.83","33.62","34.37","35.3","36.09","38.23","40.99","41.45","42.46","46.3","44.15","44.62","49.52","42.44","43.22","49.93","76.04","74.55","75.45","76.77","81.64","80.52","79.88","78.95","87.47","78.53","76.26","78.96","79.27","85.47","105.65","108.88","108.87","90.56","90.74","94.78","106.45","100.78","96.57","98.65","98.77","102.11","",
"Botswana","BWA","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","41.39","41.67","45.84","50.59","49.89","51.45","53.75","51.93","52.88","57.46","62.34","61.87","58.74","60.67","58.79","65.69","62.73","51.76","65.48","51.01","63.52","66.26","61.74","68.32","66.35","65.2","58.45","62.4","64.63","69.48","107.03","98.31","93.6","92.34","108.9","100.22","96.13","92.5","85.81","96.58","102.3","90.61","93.54","98.56","101.36","100.08","102.26","107.68","113.8","124.68","138.14","127.23","126.9","128.3","115.96","119.84","",
"Central African Republic","CAF","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","30.63","31.2","31.54","31.53","33.45","32.44","35.08","35.43","36.92","37.91","39.14","40.52","41.93","44.79","45.96","46.12","47.42","46.99","48.85","50.55","52.06","53.47","53.79","51.56","52.32","57.24","57.3","60.66","61.91","62.49","63.88","67.27","68.62","69.98","74.19","82.47","82.04","84.33","83.95","92.66","90.12","91.88","89.6","94.86","101.43","103.71","108.82","110.14","113.47","114.31","120.29","121.3","122.81","115.31","118.44","119.99","",
"Canada","CAN","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","34.35","40.95","43.77","42.29","45.7","49.46","44.45","47.61","46.33","43.35","49.19","48","48.04","45.52","50.14","56.05","55.85","57.69","53.6","57.11","61.85","66.51","62.85","62.99","65.34","70.39","67.85","60.4","67.1","74.11","73.52","73.29","73.04","76.13","78.53","83.82","82.82","87.24","93.52","91.44","84.91","82.25","88.71","97.68","101.59","100.73","100.43","110.62","108.61","108.49","109.19","108.73","120.15","111.72","113.96","117.66","",
"Central Europe and the Baltics","CEB","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.003361572658","104.347246346667","93.0455041293297","96.2890236699183","97.3951502630772","98.1982968935154","97.6496130203765","95.2461892904867","91.4563676386829","96.5985280968509","93.1845735009372","93.0843593078177","105.286738989938","97.425513779793","97.473766965576","92.7898794287871","102.98354609874","101.921644117259","97.2114527439031","102.207612016981","98.4339581323547","105.929834104028","113.683691259599","","","",
"Switzerland","CHE","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","81.18","84.53","81.94","83.38","80.17","85","94.52","91.47","92.75","90.36","91.61","89.57","96.78","93.84","98.62","99.5","98.67","100.48","108.91","104.73","102.12","113.47","105.93","110.37","107.28","109.88","102.69","108.52","107.73","105.83","102.91","107.54","102.2","99.26","100.85","102.4","97.29","106.56","98.1","102.12","97.98","100.39","98.09","101.64","98.56","99.8","102.44","102.37","105.53","104.12","109.67","105.85","103.2","108.01","104.61","102.84","",
"Channel Islands","CHI","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","27.5","28.77","28.96","28.64","27.91","31.19","31.27","33.42","31.07","32.73","33.06","31.19","28.44","33.35","34.63","34.13","36.78","36.29","39.3","39.87","43.11","43.4","40.6","42.38","42.3","44.16","46.61","49.97","54.02","57.57","59.86","62.52","66.47","71.84","76.2","79.1","79.33","81.48","80.86","83.17","89.76","89.96","91.78","94.95","99.61","105.44","102.06","104.86","104.56","108.32","112.03","111.36","111.37","111.68","111.84","114.79","",
